2122,62061,"0100314"
2122,62480,"0100440"
2120,40199,"0100658"
2118,20213,"0103308"
2120,42107,"0112679"
2122,62055,"0113780"
2120,42051,"0114113"
2120,41180,"0115561"
2118,20422,"0115572"
2118,20125,"0115688"
2118,21755,"0118623"
2118,21782,"0119675"
2118,21970,"0121644"
2122,60297,"0131114"
2120,40958,"0152246"
2118,20958,"0153705"
2118,22466,"0153705"
2122,60436,"0156779"
2120,42352,"0166864"
2122,61232,"0169711"
2120,41956,"0172115"
2118,20588,"0176748"
2122,61760,"0183756"
2118,20422,"0184129"
2120,40220,"0184129"
2122,60298,"0184129"
2118,21553,"0184154"
2118,22477,"0184154"
2120,42276,"0189646"
2122,60562,"0189646"
2120,41921,"0191449"
2118,21515,"0195857"
2122,60204,"0196210"
2118,22705,"0205918"
2118,20097,"0215173"
2118,22530,"0215173"
2120,42146,"0215173"
2120,42388,"0215173"
2122,60198,"0215173"
2122,62562,"0232733"
2122,60973,"0233118"
2120,40806,"0241256"
2122,60909,"0241293"
2120,40581,"0241309"
2120,40105,"0241330"
2122,60203,"0241330"
2120,42332,"0241362"
2118,21301,"0241373"
2124,70339,"0241408"
2118,22203,"0241421"
2122,60617,"0241426"
2120,42136,"0241461"
2118,20919,"0241491"
2120,42263,"0241500"
2120,41630,"0241542"
2122,61623,"0241542"
2118,20882,"0241544"
2120,41424,"0241569"
2122,60255,"0241572"
2118,22472,"0241612"
2122,60246,"0241673"
2118,20795,"0241683"
2118,21259,"0241711"
2118,21624,"0241722"
2120,41625,"0241722"
2120,41631,"0241722"
2122,61644,"0241722"
2122,61645,"0241722"
2122,61933,"0241722"
2118,20667,"0241728"
2120,42137,"0241747"
2122,60172,"0241747"
2120,41506,"0241751"
2124,70408,"0241751"
2122,61387,"0241755"
2118,21766,"0241767"
2120,42189,"0241767"
2118,22056,"0241779"
2120,40618,"0241872"
2122,60811,"0241872"
2118,21035,"0241873"
2120,40989,"0241873"
2120,41000,"0241873"
2120,40449,"0241891"
2122,60423,"0241891"
2118,20244,"0241915"
2122,60312,"0241915"
2118,21466,"0241917"
2120,41460,"0241917"
2122,61552,"0241917"
2120,41003,"0241927"
2118,20680,"0241934"
2118,21380,"0241942"
2120,41926,"0241977"
2122,61302,"0241977"
2120,41162,"0242012"
2122,61208,"0242012"
2118,21720,"0242025"
2118,22037,"0242064"
2122,61525,"0242079"
2118,21708,"0242140"
2122,60633,"0242147"
2122,60708,"0242192"
2118,21231,"0242238"
2120,41206,"0242238"
2122,61244,"0242238"
2122,60407,"0242253"
2122,62158,"0242264"
2120,40254,"0242298"
2120,40257,"0242298"
2122,60319,"0242298"
2122,61432,"0242355"
2122,61437,"0242355"
2122,61898,"0242355"
2118,21100,"0242364"
2122,61949,"0242379"
2120,41528,"0242384"
2122,61559,"0242384"
2118,22412,"0242389"
2118,20979,"0242423"
2118,19652,"0242498"
2118,21157,"0242513"
2122,60651,"0242514"
2118,20114,"0242523"
2120,40096,"0242523"
2118,22229,"0242532"
2118,20365,"0242552"
2120,33514,"0242554"
2120,37044,"0242568"
2118,21581,"0242589"
2122,61638,"0242589"
2118,21545,"0242601"
2120,40555,"0242611"
2118,21317,"0242613"
2122,60677,"0242613"
2120,40487,"0242616"
2118,20455,"0242634"
2120,40409,"0242634"
2122,61954,"0242634"
2120,40489,"0242642"
2122,60554,"0242642"
2118,20131,"0242673"
2120,40383,"0242676"
2118,20113,"0242742"
2122,61993,"0242742"
2122,60640,"0242769"
2120,41521,"0242780"
2122,61088,"0242782"
2122,61726,"0242835"
2118,21466,"0242864"
2120,41460,"0242864"
2118,22189,"0242876"
2118,21615,"0242905"
2120,41602,"0242905"
2118,20170,"0242920"
2122,61713,"0242924"
2118,22439,"0242938"
2120,42206,"0242938"
2122,61507,"0242938"
2122,60695,"0242945"
2120,40841,"0242988"
2118,20946,"0243108"
2122,61555,"0243119"
2120,41494,"0243125"
2120,41500,"0243125"
2120,41196,"0243130"
2118,20244,"0243131"
2122,60312,"0243131"
2122,61672,"0243154"
2118,21527,"0243171"
2120,41524,"0243171"
2120,41774,"0243187"
2122,60299,"0243194"
2122,60300,"0243194"
2122,62571,"0243204"
2118,20124,"0243208"
2120,41693,"0243219"
2120,42188,"0243219"
2118,21015,"0243234"
2118,20191,"0243238"
2124,70574,"0243238"
2120,42040,"0243245"
2118,22705,"0243252"
2122,62465,"0243252"
2122,60994,"0243313"
2122,60995,"0243313"
2118,21505,"0243338"
2122,61535,"0243338"
2118,20120,"0243387"
2120,40326,"0243395"
2120,41441,"0243402"
2120,41593,"0243409"
2122,61025,"0243421"
2118,21249,"0243431"
2120,41265,"0243438"
2118,20582,"0243468"
2118,21350,"0243475"
2122,61361,"0243475"
2118,21594,"0243486"
2118,22243,"0243486"
2118,21367,"0243502"
2118,21456,"0243510"
2120,41407,"0243510"
2120,40953,"0243534"
2124,71142,"0243534"
2120,40493,"0243545"
2120,41723,"0243545"
2122,61543,"0243565"
2120,40631,"0246016"
2118,21686,"0246943"
2118,22015,"0246943"
2122,61338,"0248535"
2120,42333,"0248571"
2118,20600,"0248582"
2122,62376,"0248582"
2120,41717,"0248602"
2122,61719,"0248602"
2120,42194,"0248643"
2122,61714,"0248721"
2122,60322,"0248750"
2118,22292,"0248790"
2120,40075,"0248794"
2122,62573,"0248795"
2118,22242,"0248802"
2122,61974,"0248898"
2118,22168,"0248900"
2122,62042,"0248901"
2122,61904,"0248904"
2122,56653,"0248914"
2122,61345,"0248914"
2120,40248,"0248915"
2122,62124,"0248915"
2120,40902,"0248916"
2120,41958,"0248921"
2118,20440,"0248927"
2120,41991,"0248929"
2120,41656,"0248935"
2120,40177,"0248937"
2122,60901,"0249026"
2122,62141,"0249027"
2118,20953,"0249028"
2120,41053,"0249032"
2120,41029,"0249034"
2118,21534,"0249039"
2120,42008,"0249039"
2118,21265,"0249041"
2122,62461,"0249044"
2118,21888,"1027815"
2118,22189,"1028210"
2122,61643,"1058569"
2118,21626,"1059386"
2120,41946,"1063985"
2118,22083,"1064024"
2118,22367,"1086425"
2120,41861,"1105550"
2120,42416,"1105550"
2120,42012,"1139333"
2122,61989,"1176968"
2118,21466,"1177567"
2120,41460,"1177567"
2122,62461,"1179521"
2122,62390,"1179865"
2124,70193,"1180144"
2124,70008,"1183331"
2118,20707,"1218137"
2120,42315,"1218147"
2122,61901,"1218147"
2122,61902,"1218147"
2118,22450,"1218149"
2120,41132,"1218320"
2120,40527,"1219422"
2118,21305,"1219900"
2120,40118,"1256806"
2120,40199,"1256861"
2122,61947,"1258514"
2122,62470,"1297062"
2122,61386,"1297499"
2120,40848,"1297995"
2118,22649,"1298325"
2120,41431,"1298325"
2120,40895,"1298903"
2122,62167,"1298903"
2120,42353,"1299321"
2122,61449,"1299321"
2120,42413,"1341409"
2122,62603,"1341409"
2122,61002,"1341940"
